trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
99,False,"{'a': 0.7, 'e': 0.10050378152592121}",25,0,24.002421724330073,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
100,False,"{'a': 0.7, 'e': 0.1}",25,19,13.027524716423969,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.7, 'e': 0.09950371902099892}",25,0,31.012721031453992,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
102,False,"{'a': 0.7, 'e': 0.09901475429766744}",20,13,10.195888603613065,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.7, 'e': 0.09853292781642932}",25,8,-78.52464770039496,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 2}",1
104,False,"{'a': 0.7, 'e': 0.09805806756909202}",20,0,-57.34788976350883,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
105,False,"{'a': 0.7, 'e': 0.09759000729485333}",20,0,-25.205779914633954,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
106,False,"{'a': 0.7, 'e': 0.09712858623572641}",35,21,-1.4814217705533683,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.7, 'e': 0.09667364890456635}",25,0,15.608001505561568,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
108,False,"{'a': 0.7, 'e': 0.09622504486493763}",30,18,20.14799203677705,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.7, 'e': 0.09578262852211514}",25,6,-46.98324205708161,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 1}",1
110,False,"{'a': 0.7, 'e': 0.09534625892455924}",20,0,17.87782600391403,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
111,False,"{'a': 0.7, 'e': 0.0949157995752499}",20,6,17.711885293001757,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.7, 'e': 0.0944911182523068}",20,3,23.850889897631944,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.7, 'e': 0.09407208683835973}",20,0,-14.201768939850497,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
114,False,"{'a': 0.7, 'e': 0.0936585811581694}",25,0,-139.73787082126108,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 4}",0
115,False,"{'a': 0.7, 'e': 0.09325048082403138}",25,0,25.464228593362975,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
116,False,"{'a': 0.7, 'e': 0.09284766908852593}",20,0,22.685362893097793,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.7, 'e': 0.09245003270420485}",20,10,18.192897423412564,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.7, 'e': 0.09205746178983235}",20,4,27.53096881401001,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.7, 'e': 0.09166984970282113}",30,0,-23.72282619865368,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
120,False,"{'a': 0.7, 'e': 0.09128709291752768}",25,12,9.909560107650602,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.7, 'e': 0.09090909090909091}",20,0,10.110083049106684,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
122,False,"{'a': 0.7, 'e': 0.09053574604251853}",20,8,19.69901587413115,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.7, 'e': 0.09016696346674323}",20,6,22.092173809332863,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.7, 'e': 0.08980265101338746}",35,21,24.715385058010845,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.7, 'e': 0.08944271909999159}",20,5,15.062309705843656,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.7, 'e': 0.0890870806374748}",30,22,18.99864385859165,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.7, 'e': 0.08873565094161139}",30,19,19.61273479280708,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.7, 'e': 0.08838834764831843}",20,13,9.37357834676633,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.7, 'e': 0.08804509063256238}",25,13,22.449808131467925,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.7, 'e': 0.08770580193070293}",30,17,-10.176236225791936,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
